branch_length,mut_freq
0.007082958,0.0068259384
0.014571937,0.013651877
0.0075103673,0.0068259384
0.0037587737,0.0034129692
0.0036561145,0.0034129692
0.011285245,0.010676157
0.0039133495,0.0035587188
0.003943164,0.0035587188
0.003911648,0.0035587188
0.0039073005,0.0035587188
0.0037511587,0.0035587188
0.0037508046,0.0035587188
0.0036717893,0.0035587188
0.0075336597,0.0071174377
0.07447145,0.06329114
0.008919879,0.008438818
0.004584435,0.004219409
0.0044658664,0.004219409
0.0707609,0.06329114
0.0038838193,0.0035211267
0.0074789184,0.0070422534
0.011079768,0.01056338
0.011514595,0.01056338
0.003839062,0.0035211267
0.0028534615,0.0031152647
0.011842885,0.012461059
0.0057341927,0.0062305294
0.0029247352,0.0031152647
0.0028669324,0.0031152647
0.03843316,0.040498443
0.0059952578,0.006430868
0.0030599704,0.003215434
0.015890624,0.01607717
0.03525344,0.035369776
0.0030623279,0.003215434
0.0032462939,0.003215434
0.0029985826,0.003215434
0.019314574,0.019292604
0.003277226,0.003215434
0.020119498,0.019292604
0.009263692,0.009646302
0.006626163,0.006430868
0.0032401697,0.003215434
0.003077508,0.003215434
0.003108733,0.003215434
0.0039086794,0.003508772
0.003933661,0.003508772
0.06482585,0.056140352
0.0073744725,0.007017544
0.0038538065,0.003508772
0.007866138,0.007017544
0.0036621618,0.003508772
0.0073744794,0.007017544
0.003918643,0.003508772
0.0110715395,0.010526316
0.003646759,0.003508772
0.0075150747,0.007017544
0.039753728,0.037162162
0.0036376084,0.0033783785
0.0035452282,0.0033783785
0.0037643162,0.0033783785
0.0036347874,0.0033783785
0.010711381,0.010135135
0.011514792,0.010135135
0.003599689,0.0033783785
0.003992663,0.0034482758
0.004168115,0.0034482758
0.004065983,0.0034482758
0.0039896523,0.0034482758
0.007940249,0.0068965517
0.0037782725,0.0032573289
0.0039205495,0.0032573289
0.003922197,0.0032573289
0.03108963,0.026058631
0.007898179,0.0065146578
0.0039255684,0.0032573289
0.016595008,0.014814815
0.004000564,0.0037037036
0.015463529,0.014814815
0.0038994441,0.0037037036
0.003924333,0.0037037036
0.008160287,0.0074074073
0.01993793,0.018518519
