branch_length,mut_freq
0.010802824,0.0068259384
0.021615962,0.013651877
0.010699116,0.0068259384
0.005360396,0.0034129692
0.0053477953,0.0034129692
0.01767334,0.010676157
0.005876645,0.0035587188
0.0059128236,0.0035587188
0.0059057903,0.0035587188
0.005900799,0.0035587188
0.0059026876,0.0035587188
0.005902642,0.0035587188
0.0059130425,0.0035587188
0.011856927,0.0071174377
0.100805975,0.06329114
0.013182947,0.008438818
0.0066028666,0.004219409
0.0065959715,0.004219409
0.10256487,0.06329114
0.0056546666,0.0035211267
0.01130989,0.0070422534
0.017024001,0.01056338
0.016971601,0.01056338
0.0056587458,0.0035211267
0.0042391266,0.0031152647
0.017079342,0.012461059
0.008469291,0.0062305294
0.0042410335,0.0031152647
0.0042349733,0.0031152647
0.057340667,0.040498443
0.008971538,0.006430868
0.004557354,0.003215434
0.022929607,0.01607717
0.051012207,0.035369776
0.004561113,0.003215434
0.0045564645,0.003215434
0.004489625,0.003215434
0.027540663,0.019292604
0.0047192117,0.003215434
0.027359158,0.019292604
0.013752291,0.009646302
0.0091758035,0.006430868
0.0045589455,0.003215434
0.004566903,0.003215434
0.0045645027,0.003215434
0.00531127,0.003508772
0.00532087,0.003508772
0.08855222,0.056140352
0.010647046,0.007017544
0.005330408,0.003508772
0.010645181,0.007017544
0.0053335424,0.003508772
0.010643906,0.007017544
0.005317478,0.003508772
0.015976887,0.010526316
0.0053270506,0.003508772
0.010762077,0.007017544
0.059001166,0.037162162
0.0055321567,0.0033783785
0.0055398922,0.0033783785
0.0055329707,0.0033783785
0.005524143,0.0033783785
0.016664675,0.010135135
0.015758436,0.010135135
0.005361098,0.0033783785
0.005925665,0.0034482758
0.005926857,0.0034482758
0.0059282775,0.0034482758
0.005929538,0.0034482758
0.011906746,0.0068965517
0.005528222,0.0032573289
0.005523312,0.0032573289
0.0055250293,0.0032573289
0.04448635,0.026058631
0.011149892,0.0065146578
0.00553063,0.0032573289
0.023283346,0.014814815
0.005693777,0.0037037036
0.02306518,0.014814815
0.0056883083,0.0037037036
0.005699579,0.0037037036
0.011420905,0.0074074073
0.028816802,0.018518519
0.004933904,0.003125
0.004930027,0.003125
0.004941137,0.003125
0.009866335,0.00625
0.004933318,0.003125
0.029789776,0.01875
0.04460208,0.028125
0.004813422,0.0034129692
0.004817619,0.0034129692
0.0048175333,0.0034129692
0.034014344,0.023890786
0.07884126,0.054607507
0.0054284404,0.0034013605
0.0053892704,0.0034013605
0.010784148,0.006802721
0.0053873346,0.0034013605
0.02167455,0.013605442
0.0053862766,0.0034013605
0.0044008726,0.0034013605
0.004405247,0.0034013605
0.02215634,0.017006803
0.008807657,0.006802721
0.008797048,0.006802721
0.0043950276,0.0034013605
0.008822798,0.006802721
0.008800138,0.006802721
0.008792695,0.006802721
0.008804418,0.006802721
0.0058355457,0.0036630037
0.005807751,0.0036630037
0.0057678423,0.0036630037
0.0058105937,0.0036630037
0.005801325,0.0036630037
0.005794208,0.0036630037
0.0058003883,0.0036630037
0.0062619895,0.003533569
0.0062222043,0.003533569
0.012341027,0.007067138
0.006173884,0.003533569
0.0061654304,0.003533569
0.012335085,0.007067138
0.0062077832,0.003533569
0.006205192,0.003533569
0.018843736,0.010600707
0.0048868633,0.0032467532
0.050166517,0.032467533
0.0049416907,0.0032467532
0.050305776,0.032467533
0.004903914,0.0032467532
0.009728777,0.0064935065
0.019693239,0.012987013
0.004889665,0.0032467532
0.0048985532,0.0032467532
0.025178678,0.01724138
0.005060691,0.0034482758
0.005077598,0.0034482758
0.005076631,0.0034482758
0.0050764373,0.0034482758
0.005066533,0.0034482758
0.009879148,0.006557377
0.004894027,0.0032786885
0.009805835,0.006557377
0.0048868554,0.0032786885
0.009794425,0.006557377
0.009936371,0.006557377
0.027292907,0.01980198
0.0045294752,0.0033003301
0.022958703,0.01650165
0.004523459,0.0033003301
0.004528795,0.0033003301
0.0045263013,0.0033003301
0.0045254882,0.0033003301
0.08609932,0.06535948
0.029820718,0.019607844
0.004798506,0.003267974
0.024309786,0.01633987
0.014578709,0.009803922
0.014423938,0.009803922
0.0098023545,0.006535948
0.035818197,0.022875817
0.04240816,0.026143791
0.08928552,0.06535948
0.0043748477,0.0030959751
0.00433967,0.0030959751
0.034494262,0.024767801
0.026024707,0.01857585
0.008684223,0.0061919503
0.004331243,0.0030959751
0.017403506,0.012383901
0.013204629,0.009287925
0.009028355,0.0061919503
0.005252527,0.0033557047
0.042859685,0.026845638
0.02646378,0.016778523
0.010510839,0.0067114094
0.005262533,0.0033557047
0.0055406527,0.0033783785
0.0055584162,0.0033783785
0.07663411,0.04391892
0.016659025,0.010135135
0.011090282,0.006756757
0.0061663175,0.0034246575
0.012320479,0.006849315
0.0061491802,0.0034246575
0.0061527975,0.0034246575
0.0061415415,0.0034246575
0.006149081,0.0034246575
0.018504195,0.0102739725
0.011962617,0.00591716
0.012204296,0.00591716
0.012260021,0.00591716
0.012211356,0.00591716
0.012183765,0.00591716
0.0056502256,0.0034482758
0.011198174,0.0068965517
0.005593757,0.0034482758
0.0055987095,0.0034482758
0.0055943704,0.0034482758
0.005599498,0.0034482758
0.0056439717,0.0034482758
0.015731834,0.009771987
0.010722539,0.0065146578
0.04974628,0.029315962
0.016541934,0.009771987
0.022089878,0.0130293155
0.01630419,0.009771987
0.043858856,0.026058631
0.016598955,0.009771987
0.09041214,0.052117262
